Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Seconds)
256x256,5,2,31,
256x256,5,2,32,
256x256,5,2,33,
256x256,5,2,34,
256x256,5,2,35,
256x256,5,2,36,
256x256,5,2,37,
256x256,5,2,38,
256x256,5,2,39,
256x256,5,2,40,
256x256,5,2,41,
256x256,5,2,42,
256x256,5,2,43,
256x256,5,2,44,
256x256,5,2,45,
256x256,5,2,46,
256x256,5,2,47,
256x256,5,2,48,
256x256,5,2,49,
256x256,5,2,50,
256x256,5,2,51,
256x256,5,2,52,
256x256,5,2,53,
256x256,5,2,54,
256x256,5,2,55,
256x256,5,2,56,
256x256,5,2,57,
256x256,5,2,58,
256x256,5,2,59,
256x256,5,2,60,
256x256,5,2,61,
256x256,5,2,62,
256x256,5,2,63,
256x256,5,2,64,
256x256,5,2,65,
256x256,5,2,66,
256x256,5,2,67,
256x256,5,2,68,
256x256,5,2,69,
256x256,5,2,70,
256x256,5,2,71,
256x256,5,2,72,
256x256,5,2,73,
256x256,5,2,74,
256x256,5,2,75,
256x256,5,2,76,
256x256,5,2,77,
256x256,5,2,78,
256x256,5,2,79,
256x256,5,2,80,
256x256,5,2,81,
256x256,5,2,82,
256x256,5,2,83,
256x256,5,2,84,
256x256,5,2,85,
256x256,5,2,86,
256x256,5,2,87,
256x256,5,2,88,
256x256,5,2,89,
256x256,5,2,90,
256x256,5,2,91,
256x256,5,2,92,
256x256,5,2,93,
256x256,5,2,94,
256x256,5,2,95,
256x256,5,2,96,
256x256,5,2,97,
256x256,5,2,98,
256x256,5,2,99,
256x256,5,2,100,
256x256,5,4,1,
256x256,5,4,2,
256x256,5,4,3,
256x256,5,4,4,
256x256,5,4,5,
256x256,5,4,6,
256x256,5,4,7,
256x256,5,4,8,
256x256,5,4,9,
256x256,5,4,10,
256x256,5,4,11,
256x256,5,4,12,
256x256,5,4,13,
256x256,5,4,14,
256x256,5,4,15,
256x256,5,4,16,
256x256,5,4,17,
256x256,5,4,18,
256x256,5,4,19,
256x256,5,4,20,
256x256,5,4,21,
256x256,5,4,22,
256x256,5,4,23,
256x256,5,4,24,
256x256,5,4,25,
256x256,5,4,26,
256x256,5,4,27,
256x256,5,4,28,
256x256,5,4,29,
256x256,5,4,30,
256x256,5,4,31,
256x256,5,4,32,
256x256,5,4,33,
256x256,5,4,34,
256x256,5,4,35,
256x256,5,4,36,
256x256,5,4,37,
256x256,5,4,38,
256x256,5,4,39,
256x256,5,4,40,
256x256,5,4,41,
256x256,5,4,42,
256x256,5,4,43,
256x256,5,4,44,
256x256,5,4,45,
256x256,5,4,46,
256x256,5,4,47,
256x256,5,4,48,
256x256,5,4,49,
256x256,5,4,50,
256x256,5,4,51,
256x256,5,4,52,
256x256,5,4,53,
256x256,5,4,54,
256x256,5,4,55,
256x256,5,4,56,
256x256,5,4,57,
256x256,5,4,58,
256x256,5,4,59,
256x256,5,4,60,
256x256,5,4,61,
256x256,5,4,62,
256x256,5,4,63,
256x256,5,4,64,
256x256,5,4,65,
256x256,5,4,66,
256x256,5,4,67,
256x256,5,4,68,
256x256,5,4,69,
256x256,5,4,70,
256x256,5,4,71,
256x256,5,4,72,
256x256,5,4,73,
256x256,5,4,74,
256x256,5,4,75,
256x256,5,4,76,
256x256,5,4,77,
256x256,5,4,78,
256x256,5,4,79,
256x256,5,4,80,
256x256,5,4,81,
256x256,5,4,82,
256x256,5,4,83,
256x256,5,4,84,
256x256,5,4,85,
256x256,5,4,86,
